"ID","Name","Gender","Class","Section","Contact","Age"
"NC001","Emma Johnson","Female","A","C","emmajohnson@school.edu",17
"NC002","Itaha Wisdom","Male","C","C","itahawisdom@school.edu",17
"NC003","Olivia Williams","Male","B","C","oliviawilliams@school.edu",17
"NC004","Noah Brown","Male","A","C","noahbrown@school.edu",18
"NC005","Kareema Imam","Female","B","B","kareemaimam@school.edu",15
"NC006","William Garcia","Male","C","C","williamgarcia@school.edu",18
"NC007","Isabella Miller","Male","B","A","isabellamiller@school.edu",18
"NC008","Fatima Sharif","Female","C","B","fatimasharif@school.edu",17
"NC009","Sophia Rodriguez","Male","C","C","sophiarodriguez@school.edu",16
"NC010","Benjamin Martinez","Female","C","B","benjaminmartinez@school.edu",15
"NC011","Khairadeen Muhammad","Male","C","A","khairadeenmuhammad@school.edu",16
"NC012","Elijah Lopez","Male","C","A","elijahlopez@school.edu",16
"NC013","Charlotte Gonzalez","Male","B","A","charlottegonzalez@school.edu",16
"NC014","Lucas Wilson","Female","A","C","lucaswilson@school.edu",18
"NC015","Amelia Anderson","Female","C","B","ameliaanderson@school.edu",16
"NC016","Mason Thomas","Male","B","A","masonthomas@school.edu",18
"NC017","Harrison Taylor","Female","C","C","harrisontaylor@school.edu",17
"NC018","Evelyn Moore","Female","C","C","evelynmoore@school.edu",18
"NC019","Sadiq Ali","Male","A","B","sadiqali@school.edu",17
"NC020","Abigail Martin","Male","C","C","abigailmartin@school.edu",15
"NC021","Alexander Lee","Male","A","C","alexanderlee@school.edu",15
"NC022","Emily Perez","Male","B","B","emilyperez@school.edu",18
"NC023","Michael Thompson","Female","C","B","michaelthompson@school.edu",17
"NC024","Elizabeth White","Male","B","A","elizabethwhite@school.edu",17
"NC025","Daniel Harris","Female","B","B","danielharris@school.edu",17
"NC026","Sofia Sanchez","Female","A","A","sofiasanchez@school.edu",18
"NC027","Henry Clark","Female","A","C","henryclark@school.edu",16
"NC028","Victoria Ramirez","Male","B","C","victoriaramirez@school.edu",17
"NC029","Jackson Lewis","Female","C","B","jacksonlewis@school.edu",18
"NC030","Amira Nura","Female","A","B","amiranura@school.edu",15
"NC031","Sebastian Walker","Male","A","B","sebastianwalker@school.edu",17
"NC032","Naiima Nazifi","Female","A","B","naiimanazifi@school.edu",16
"NC033","Aiden Allen","Male","B","B","aidenallen@school.edu",17
"NC034","Luna King","Female","C","A","lunaking@school.edu",16
"NC035","Samuel Wright","Male","B","B","samuelwright@school.edu",15
"NC036","Niima Ali","Male","A","A","niimaali@school.edu",18
"NC037","Joseph Torres","Male","C","B","josephtorres@school.edu",17
"NC038","Penelope Nguyen","Male","C","B","penelopenguyen@school.edu",16
"NC039","David Hill","Male","C","A","davidhill@school.edu",15
"NC040","Layla Flores","Female","A","A","laylaflores@school.edu",18
"NC041","Carter Green","Male","C","C","cartergreen@school.edu",17
"NC042","Riley Adams","Male","A","C","rileyadams@school.edu",17
"NC043","Wyatt Nelson","Male","A","C","wyattnelson@school.edu",16
"NC044","Zoey Baker","Female","B","B","zoeybaker@school.edu",17
"NC045","John Rivera","Female","A","B","johnrivera@school.edu",18
"NC046","Nora Campbell","Female","A","C","noracampbell@school.edu",18
"NC047","Owen Mitchell","Female","C","A","owenmitchell@school.edu",17
"NC048","Hannah Carter","Male","A","A","hannahcarter@school.edu",17
"NC049","Jack Roberts","Male","B","B","jackroberts@school.edu",16
"NC050","Zoe Phillips","Male","A","A","zoephillips@school.edu",15
