"ID","Name","Class","Section","Gender","Average Score","Attendance Rate","Submission Rate"
"NC001","Emma Johnson","A","C","Female",82.4,0.9,0.333333333333333
"NC002","Itaha Wisdom","C","C","Male",81.8,0.933333333333333,1
"NC003","Olivia Williams","B","C","Male",70.2,0.933333333333333,0.666666666666667
"NC004","Noah Brown","A","C","Male",66,0.833333333333333,1
"NC005","Kareema Imam","B","B","Female",57.6,0.933333333333333,1
"NC006","William Garcia","C","C","Male",73.6,0.8,0.666666666666667
"NC007","Isabella Miller","B","A","Male",70.6,0.933333333333333,1
"NC008","Fatima Sharif","C","B","Female",79.4,0.933333333333333,0.666666666666667
"NC009","Sophia Rodriguez","C","C","Male",70,0.933333333333333,0.666666666666667
"NC010","Benjamin Martinez","C","B","Female",75,0.833333333333333,1
"NC011","Khairadeen Muhammad","C","A","Male",69,0.966666666666667,1
"NC012","Elijah Lopez","C","A","Male",77.8,0.8,0.666666666666667
"NC013","Charlotte Gonzalez","B","A","Male",80.2,0.966666666666667,0.666666666666667
"NC014","Lucas Wilson","A","C","Female",88.6,0.933333333333333,0.666666666666667
"NC015","Amelia Anderson","C","B","Female",68.8,0.766666666666667,1
"NC016","Mason Thomas","B","A","Male",70.2,0.866666666666667,1
"NC017","Harrison Taylor","C","C","Female",88,0.9,0.333333333333333
"NC018","Evelyn Moore","C","C","Female",78.8,0.866666666666667,1
"NC019","Sadiq Ali","A","B","Male",75.2,0.966666666666667,1
"NC020","Abigail Martin","C","C","Male",83.4,0.8,0.666666666666667
"NC021","Alexander Lee","A","C","Male",88.6,0.933333333333333,1
"NC022","Emily Perez","B","B","Male",66.8,0.866666666666667,1
"NC023","Michael Thompson","C","B","Female",79.6,0.966666666666667,1
"NC024","Elizabeth White","B","A","Male",82.8,0.866666666666667,1
"NC025","Daniel Harris","B","B","Female",74.4,0.966666666666667,1
"NC026","Sofia Sanchez","A","A","Female",68.4,0.833333333333333,0.666666666666667
"NC027","Henry Clark","A","C","Female",69.4,0.866666666666667,0.666666666666667
"NC028","Victoria Ramirez","B","C","Male",73.2,0.866666666666667,0.333333333333333
"NC029","Jackson Lewis","C","B","Female",82.2,0.9,1
"NC030","Amira Nura","A","B","Female",73.8,0.866666666666667,0.666666666666667
"NC031","Sebastian Walker","A","B","Male",82.6,0.9,0.666666666666667
"NC032","Naiima Nazifi","A","B","Female",90.2,0.866666666666667,0.333333333333333
"NC033","Aiden Allen","B","B","Male",61,0.9,0.666666666666667
"NC034","Luna King","C","A","Female",86.2,0.9,0.666666666666667
"NC035","Samuel Wright","B","B","Male",62.8,0.9,1
"NC036","Niima Ali","A","A","Male",77,0.9,1
"NC037","Joseph Torres","C","B","Male",84.6,0.866666666666667,1
"NC038","Penelope Nguyen","C","B","Male",70,0.933333333333333,1
"NC039","David Hill","C","A","Male",76,0.9,0.666666666666667
"NC040","Layla Flores","A","A","Female",86.2,0.966666666666667,1
"NC041","Carter Green","C","C","Male",68.6,0.9,0.666666666666667
"NC042","Riley Adams","A","C","Male",82.4,0.833333333333333,1
"NC043","Wyatt Nelson","A","C","Male",79.4,0.9,1
"NC044","Zoey Baker","B","B","Female",86.2,0.866666666666667,0.666666666666667
"NC045","John Rivera","A","B","Female",77,0.933333333333333,0.666666666666667
"NC046","Nora Campbell","A","C","Female",72.4,0.833333333333333,1
"NC047","Owen Mitchell","C","A","Female",70.4,0.933333333333333,0.666666666666667
"NC048","Hannah Carter","A","A","Male",75.4,0.933333333333333,1
"NC049","Jack Roberts","B","B","Male",84.6,0.933333333333333,0.666666666666667
"NC050","Zoe Phillips","A","A","Male",80,0.9,1
